onset	duration	fixation	emotion	attention	generic
0	9.166161	1	NA	NA	1
9.166161	0.25	0	fearful	houses	1
9.416161	5.099747	1	NA	NA	1
14.515908	0.25	0	fearful	houses	1
14.765908	12.632652	1	NA	NA	1
27.39856	0.25	0	fearful	houses	1
27.64856	7.61613	1	NA	NA	1
35.26469	0.25	0	neutral	houses	1
35.51469	7.61621	1	NA	NA	1
43.1309	0.25	0	fearful	faces	1
43.3809	5.09989	1	NA	NA	1
48.48079	0.25	0	fearful	faces	1
48.73079	5.09975	1	NA	NA	1
53.83054	0.25	0	neutral	houses	1
54.08054	15.14916	1	NA	NA	1
69.2297	0.25	0	neutral	faces	1
69.4797	10.14833	1	NA	NA	1
79.62803	0.25	0	neutral	faces	1
79.87803	5.09989	1	NA	NA	1
84.97792	0.25	0	fearful	faces	1
85.22792	10.11707	1	NA	NA	1
95.34499	0.25	0	neutral	houses	1
95.59499	7.61888	1	NA	NA	1
103.21387	0.25	0	neutral	houses	1
103.46387	5.11333	1	NA	NA	1
108.5772	0.25	0	fearful	faces	1
108.8272	12.6326	1	NA	NA	1
121.4598	0.25	0	neutral	faces	1
121.7098	15.1491	1	NA	NA	1
136.8589	0.25	0	neutral	faces	1
137.1089	5.1164	1	NA	NA	1
142.2253	0.25	0	fearful	houses	1
142.4753	5.11529999999999	1	NA	NA	1
147.5906	0.25	0	fearful	houses	1
147.8406	12.6325	1	NA	NA	1
160.4731	0.25	0	neutral	houses	1
160.7231	15.1367	1	NA	NA	1
175.8598	0.25	0	fearful	faces	1
176.1098	10.1304	1	NA	NA	1
186.2402	0.25	0	fearful	faces	1
186.4902	7.61970000000002	1	NA	NA	1
194.1099	0.25	0	neutral	houses	1
194.3599	7.6165	1	NA	NA	1
201.9764	0.25	0	fearful	faces	1
202.2264	5.11619999999999	1	NA	NA	1
207.3426	0.25	0	neutral	faces	1
207.5926	5.1129	1	NA	NA	1
212.7055	0.25	0	neutral	faces	1
