onset	duration	image	emotion	generic
0.29245	3	face	happy	1
3.29245	3	face	happy	1
6.29245	3	face	happy	1
9.29245	3	face	happy	1
12.29285	3	face	happy	1
15.29415	3	face	happy	1
18.29615	3	face	fearful	1
21.29595	3	face	fearful	1
24.29165	3	face	fearful	1
27.2922	3	face	fearful	1
30.2933	3	face	fearful	1
33.29185	3	face	fearful	1
36.2951	3	face	neutral	1
39.29485	3	face	neutral	1
42.2913	3	face	neutral	1
45.2925	3	face	neutral	1
48.29145	3	face	neutral	1
51.29075	3	face	neutral	1
54.37745	3	object	NA	1
57.3065	3	object	NA	1
60.30685	3	object	NA	1
63.3065	3	object	NA	1
66.29725	3	object	NA	1
69.3064	3	object	NA	1
72.31905	3	fixation	NA	1
75.3221	3	fixation	NA	1
78.32515	3	fixation	NA	1
81.3301	3	fixation	NA	1
84.3424	3	fixation	NA	1
87.34945	3	fixation	NA	1
90.40435	3	face	fearful	1
93.3771	3	face	fearful	1
96.37795	3	face	fearful	1
99.37555	3	face	fearful	1
102.3766	3	face	fearful	1
105.37645	3	face	fearful	1
108.3763	3	face	neutral	1
111.3772	3	face	neutral	1
114.376	3	face	neutral	1
117.3758	3	face	neutral	1
120.3757	3	face	neutral	1
123.3755	3	face	neutral	1
126.3677	3	face	happy	1
129.3738	3	face	happy	1
132.3714	3	face	happy	1
135.3738	3	face	happy	1
138.3733	3	face	happy	1
141.3745	3	face	happy	1
144.3849	3	fixation	NA	1
147.4014	3	fixation	NA	1
150.4034	3	fixation	NA	1
153.423	3	fixation	NA	1
156.4368	3	fixation	NA	1
159.4397	3	fixation	NA	1
162.5557	3	object	NA	1
165.4889	3	object	NA	1
168.4875	3	object	NA	1
171.4866	3	object	NA	1
174.4841	3	object	NA	1
177.4778	3	object	NA	1
180.5009	3	face	neutral	1
183.4701	3	face	neutral	1
186.4672	3	face	neutral	1
189.4689	3	face	neutral	1
192.4669	3	face	neutral	1
195.4685	3	face	neutral	1
198.5535	3	object	NA	1
201.4807	3	object	NA	1
204.4828	3	object	NA	1
207.4804	3	object	NA	1
210.4861	3	object	NA	1
213.4843	3	object	NA	1
216.4756	3	fixation	NA	1
219.4921	3	fixation	NA	1
222.4988	3	fixation	NA	1
225.5072	3	fixation	NA	1
228.5084	3	fixation	NA	1
231.5091	3	fixation	NA	1
234.5689	3	face	fearful	1
237.5354	3	face	fearful	1
240.5439	3	face	fearful	1
243.5371	3	face	fearful	1
246.5369	3	face	fearful	1
249.538	3	face	fearful	1
252.5264	3	face	happy	1
255.5343	3	face	happy	1
258.5299	3	face	happy	1
261.5322	3	face	happy	1
264.5321	3	face	happy	1
267.5294	3	face	happy	1
